Langenlebarn;177m;24.5°;34 %;West, 25 km/h;42 km/h;0.0 mm;97 %;1015.7 hPa;2022-05-21 18:50:02
Buchberg;467m;20.9°;43 %;Nordwest, 49 km/h;79 km/h;0.0 mm;100 %;1015.8 hPa;2022-05-21 18:50:02
St. Pölten;270m;24.2°;31 %;Südwest, 27 km/h;59 km/h;0.0 mm;98 %;1016.0 hPa;2022-05-21 18:50:02
Melk;305m;22.9°;36 %;West, 31 km/h;60 km/h;n.v.;100 %;1016.5 hPa;2022-05-21 18:50:02
Amstetten;264m;23.9°;38 %;Nordwest, 10 km/h;32 km/h;0.0 mm;99 %;1016.8 hPa;2022-05-21 18:50:02
Wieselburg;259m;23.7°;37 %;West, 11 km/h;35 km/h;0.0 mm;99 %;1017.0 hPa;2022-05-21 18:50:02
Oberndorf/Melk;295m;23.1°;40 %;West, 10 km/h;35 km/h;0.0 mm;78 %;1017.0 hPa;2022-05-21 18:50:02
Lilienfeld/Tarschberg;696m;19.7°;46 %;West, 16 km/h;41 km/h;0.0 mm;100 %;1016.5 hPa;2022-05-21 18:50:02
Wachtberg/Steyr;385m;23.5°;36 %;Nordwest, 14 km/h;33 km/h;0.0 mm;100 %;1017.2 hPa;2022-05-21 18:50:02
Waidhofen a.d. Ybbs;378m;22.2°;51 %;Südwest, 1 km/h;15 km/h;0.0 mm;91 %;1018.1 hPa;2022-05-21 18:50:02
Lunz am See;611m;20.9°;48 %;Nordwest, 6 km/h;32 km/h;0.0 mm;41 %;1016.6 hPa;2022-05-21 18:50:02
Bad Deutsch-Altenbg.;169m;24.9°;33 %;Nordwest, 9 km/h;35 km/h;0.0 mm;95 %;n.v.;2022-05-21 18:50:02
Göttlesbrunn;195m;24.5°;n.v.;n.v.;n.v.;0.0 mm;n.v.;n.v.;2022-05-21 18:50:02
Schwechat Flughafen;183m;25.3°;31 %;West, 35 km/h;57 km/h;0.0 mm;100 %;1015.2 hPa;2022-05-21 18:50:02
Brunn am Gebirge;290m;23.6°;33 %;West, 13 km/h;45 km/h;n.v.;100 %;1015.6 hPa;2022-05-21 18:50:02
Klausen-Leopoldsdorf;390m;21.9°;44 %;West, 11 km/h;40 km/h;0.0 mm;86 %;1016.4 hPa;2022-05-21 18:50:02
Gumpoldskirchen;212m;24.1°;36 %;West, 16 km/h;39 km/h;0.0 mm;92 %;1016.5 hPa;2022-05-21 18:50:02
Seibersdorf;185m;24.1°;37 %;West, 20 km/h;52 km/h;0.0 mm;99 %;1015.7 hPa;2022-05-21 18:50:02
Bad Vöslau;266m;24.1°;37 %;Nordwest, 10 km/h;38 km/h;0.0 mm;80 %;n.v.;2022-05-21 18:50:02
Berndorf;337m;23.6°;44 %;Nordwest, 6 km/h;23 km/h;0.0 mm;97 %;1015.8 hPa;2022-05-21 18:50:02
Gutenstein/Mariahilfbg.;710m;20.4°;48 %;Südost, 2 km/h;33 km/h;0.0 mm;100 %;1015.4 hPa;2022-05-21 18:50:02
Wiener Neustadt;281m;25.5°;37 %;West, 21 km/h;40 km/h;0.0 mm;94 %;1014.9 hPa;2022-05-21 18:50:02
Hohe Wand;937m;18.8°;51 %;Nordwest, 4 km/h;37 km/h;0.0 mm;100 %;k.A.;2022-05-21 18:50:02
Puchberg/Schneeberg;586m;22.6°;40 %;West, 11 km/h;46 km/h;0.0 mm;92 %;1014.7 hPa;2022-05-21 18:50:02
Rax/Bergstation;1558m;14.1°;56 %;Nordwest, 2 km/h;51 km/h;0.0 mm;93 %;k.A.;2022-05-21 18:50:02
Reichenau/Rax;488m;24.0°;34 %;West, 10 km/h;34 km/h;0.0 mm;93 %;1014.7 hPa;2022-05-21 18:50:02
Pottschach;419m;24.5°;35 %;West, 10 km/h;27 km/h;0.0 mm;71 %;1014.7 hPa;2022-05-21 18:50:02
Semmering/Pass;991m;19.2°;44 %;West, 10 km/h;30 km/h;0.0 mm;63 %;k.A.;2022-05-21 18:50:02
Hirschenkogel;1320m;16.3°;50 %;West, 5 km/h;42 km/h;0.0 mm;72 %;k.A.;2022-05-21 18:50:02
Aspang;456m;24.4°;38 %;Nordost, 5 km/h;24 km/h;0.0 mm;73 %;1014.7 hPa;2022-05-21 18:50:02
Krumbach;542m;25.2°;30 %;West, 13 km/h;28 km/h;0.0 mm;100 %;1014.2 hPa;2022-05-21 18:50:02
Mönichkirchen;990m;20.8°;36 %;West, 9 km/h;32 km/h;0.0 mm;99 %;k.A.;2022-05-21 18:50:02
Litschau;557m;18.6°;45 %;Nordwest, 13 km/h;34 km/h;0.0 mm;100 %;1017.1 hPa;2022-05-21 19:50:02
Weitra;570m;19.9°;41 %;West, 17 km/h;40 km/h;0.0 mm;72 %;1016.5 hPa;2022-05-21 19:50:02
Zwettl;505m;20.1°;40 %;West, 7 km/h;35 km/h;0.0 mm;75 %;1016.8 hPa;2022-05-21 19:50:02
Raabs/Thaya;456m;19.8°;41 %;Nordwest, 12 km/h;32 km/h;0.0 mm;80 %;1016.5 hPa;2022-05-21 19:50:02
Allentsteig;607m;18.5°;47 %;Nordwest, 11 km/h;37 km/h;0.0 mm;86 %;1016.7 hPa;2022-05-21 19:50:02
Horn;309m;21.3°;43 %;Nordwest, 23 km/h;39 km/h;0.0 mm;71 %;1014.4 hPa;2022-05-21 19:50:02
Gars am Kamp;275m;22.1°;39 %;West, 21 km/h;42 km/h;0.0 mm;96 %;1016.1 hPa;2022-05-21 19:50:02
Langenlois;209m;23.6°;34 %;Nordwest, 17 km/h;41 km/h;0.0 mm;86 %;1016.6 hPa;2022-05-21 19:50:02
Krems;203m;23.5°;30 %;West, 17 km/h;35 km/h;0.0 mm;83 %;1016.1 hPa;2022-05-21 19:50:02
Bärnkopf;971m;15.8°;52 %;West, 9 km/h;32 km/h;0.0 mm;86 %;k.A.;2022-05-21 19:50:02
Jauerling;961m;16.3°;44 %;West, 32 km/h;56 km/h;0.0 mm;87 %;k.A.;2022-05-21 19:50:02
Retz;320m;21.3°;38 %;Nordwest, 16 km/h;36 km/h;0.0 mm;86 %;1015.9 hPa;2022-05-21 19:50:02
Laa an der Thaya;184m;22.8°;34 %;Nordwest, 21 km/h;40 km/h;0.0 mm;87 %;1015.7 hPa;2022-05-21 19:50:02
Poysdorf;206m;22.3°;38 %;Nordwest, 14 km/h;35 km/h;0.0 mm;99 %;1015.8 hPa;2022-05-21 19:50:02
Hohenau;151m;23.1°;36 %;Nordwest, 14 km/h;32 km/h;0.0 mm;100 %;1015.6 hPa;2022-05-21 19:50:02
Schöngrabern;251m;22.0°;46 %;Nordwest, 13 km/h;39 km/h;0.0 mm;75 %;1015.9 hPa;2022-05-21 19:50:02
Leiser Berge;458m;20.0°;47 %;Nord, 27 km/h;59 km/h;0.0 mm;75 %;1015.6 hPa;2022-05-21 19:50:02
Mistelbach;190m;22.2°;40 %;Nordwest, 12 km/h;34 km/h;0.0 mm;57 %;1015.6 hPa;2022-05-21 19:50:02
Wolkersdorf;186m;22.6°;41 %;Nordwest, 13 km/h;32 km/h;0.0 mm;99 %;1015.5 hPa;2022-05-21 19:50:02
Stockerau;205m;23.5°;32 %;Nordwest, 23 km/h;43 km/h;0.0 mm;100 %;1015.6 hPa;2022-05-21 19:50:02
Gänserndorf;164m;23.2°;39 %;Nordwest, 18 km/h;35 km/h;0.0 mm;100 %;1015.1 hPa;2022-05-21 19:50:02
Zwerndorf;146m;22.8°;41 %;Nordwest, 16 km/h;30 km/h;0.0 mm;100 %;1015.4 hPa;2022-05-21 19:50:02
Groß-Enzersdorf;153m;24.5°;34 %;West, 17 km/h;36 km/h;0.0 mm;100 %;1015.3 hPa;2022-05-21 19:50:02
Langenlebarn;177m;23.4°;35 %;Nordwest, 19 km/h;41 km/h;0.0 mm;91 %;1015.7 hPa;2022-05-21 19:50:02
Buchberg;467m;20.6°;42 %;Nordwest, 43 km/h;72 km/h;0.0 mm;100 %;1015.6 hPa;2022-05-21 19:50:02
St. Pölten;270m;23.1°;33 %;Südwest, 22 km/h;51 km/h;0.0 mm;93 %;1015.9 hPa;2022-05-21 19:50:02
Melk;305m;22.3°;36 %;West, 27 km/h;47 km/h;n.v.;100 %;1016.5 hPa;2022-05-21 19:50:02
Amstetten;264m;23.2°;38 %;Nordwest, 11 km/h;31 km/h;0.0 mm;100 %;1016.6 hPa;2022-05-21 19:50:02
Wieselburg;259m;22.9°;38 %;West, 10 km/h;32 km/h;0.0 mm;100 %;1016.6 hPa;2022-05-21 19:50:02
Oberndorf/Melk;295m;22.8°;42 %;West, 10 km/h;26 km/h;0.0 mm;100 %;1016.7 hPa;2022-05-21 19:50:02
Lilienfeld/Tarschberg;696m;18.8°;47 %;West, 10 km/h;36 km/h;0.0 mm;93 %;1016.4 hPa;2022-05-21 19:50:02
Wachtberg/Steyr;385m;22.4°;37 %;West, 10 km/h;34 km/h;0.0 mm;100 %;1017.0 hPa;2022-05-21 19:50:02
Waidhofen a.d. Ybbs;378m;20.5°;50 %;West, 1 km/h;14 km/h;0.0 mm;35 %;1018.1 hPa;2022-05-21 19:50:02
Lunz am See;611m;20.8°;47 %;West, 11 km/h;27 km/h;0.0 mm;45 %;1016.4 hPa;2022-05-21 19:50:02
Bad Deutsch-Altenbg.;169m;24.8°;35 %;Nordwest, 8 km/h;36 km/h;0.0 mm;95 %;n.v.;2022-05-21 19:50:02
Göttlesbrunn;195m;24.3°;n.v.;n.v.;n.v.;0.0 mm;n.v.;n.v.;2022-05-21 19:50:02
